Name,Party,State,District,Incumbent,Winner,Raised,Spent
Seth Moulton,D,MA,06,Yes,Yes,1289805.0,1802169.0
John Paul Moran,R,MA,06,No,No,300220.0,299104.0
Ayanna Pressley,D,MA,07,Yes,Yes,2163370.0,1748432.0
Stephen F Lynch,D,MA,08,Yes,Yes,905614.0,1134662.0
Bill Keating,D,MA,09,Yes,Yes,708680.0,652448.0
Helen Brady,R,MA,09,No,No,28233.0,23735.0
John Bergman,R,MI,01,Yes,Yes,1868512.0,1733466.0
Dana Ferguson,D,MI,01,No,No,346213.0,339788.0
Bill Huizenga,R,MI,02,Yes,Yes,2175411.0,1883610.0
Bryan Berghoef,D,MI,02,No,No,751576.0,669864.0
Jean-Michel Creviere,3,MI,02,No,No,281.0,1207.0
Hillary Scholten,D,MI,03,No,No,3793132.0,3765942.0
Peter Meijer,R,MI,03,No,Yes,2975972.0,2887774.0
John Moolenaar,R,MI,04,Yes,Yes,1528612.0,1036160.0
Jerry Hilliard,D,MI,04,No,No,23117.0,23603.0
Dan Kildee,D,MI,05,Yes,Yes,1669951.0,1504094.0
Tim Kelly,R,MI,05,No,No,71106.0,71106.0
Fred Upton,R,MI,06,Yes,Yes,3616380.0,3464617.0
Jon Hoadley,D,MI,06,No,No,3116491.0,3098366.0
Tim Walberg,R,MI,07,Yes,Yes,2301635.0,1586358.0
Gretchen Driskell,D,MI,07,No,No,1712840.0,1712840.0
Elissa Slotkin,D,MI,08,Yes,Yes,8967420.0,7419974.0
Paul Junge,R,MI,08,No,No,2107608.0,2097131.0
Andy Levin,D,MI,09,Yes,Yes,1316607.0,907237.0
Lisa McClain,R,MI,10,No,Yes,2266287.0,2137031.0
Kimberly Bizon,D,MI,10,No,No,41438.0,41246.0
Haley Stevens,D,MI,11,Yes,Yes,5776924.0,5707448.0
Eric Esshaki,R,MI,11,No,No,1298612.0,1291509.0
Debbie Dingell,D,MI,12,Yes,Yes,1630498.0,1689582.0
