Name,Party,State,District,Incumbent,Winner,Raised,Spent
Jackie Gordon,D,NY,02,No,No,"$4,351,881","$4,334,484"
Andrew Garbarino,R,NY,02,No,Yes,"$1,743,986","$1,612,132"
Harry Burger,3,NY,02,No,No,"$2,430",$594
Tom Suozzi,D,NY,03,Yes,Yes,"$2,941,006","$2,331,302"
George Devolder,R,NY,03,No,No,"$658,883","$591,239"
Joshua Sauberman,I,NY,03,No,No,$127,$270
Kathleen Rice,D,NY,04,Yes,Yes,"$1,106,258","$1,210,410"
Douglas Tuman,R,NY,04,No,No,"$134,937","$130,995"
Ed Dennehy,I,NY,04,No,No,"$9,031","$9,031"
Gregory W,D,NY,05,Yes,Yes,"$2,097,572","$1,467,454"
Amit Lal,I,NY,05,No,No,$126,$0
Grace Meng,D,NY,06,Yes,Yes,"$1,292,084","$1,872,311"
Thomas Zmich,R,NY,06,No,No,"$133,403","$131,278"
Nydia Velazquez,D,NY,07,Yes,Yes,"$803,217","$676,248"
Hakeem Jeffries,D,NY,08,Yes,Yes,"$4,168,717","$3,293,077"
Yvette D,D,NY,09,Yes,Yes,"$1,200,067","$1,190,143"
Jerrold Nadler,D,NY,10,Yes,Yes,"$1,848,688","$1,950,774"
Cathy Bernstein,R,NY,10,No,No,"$49,975","$28,384"
Jeanne Nigro,I,NY,10,No,No,"$34,548","$28,039"
Michael Madrid,L,NY,10,No,No,"$14,326","$12,149"
Max Rose,D,NY,11,Yes,No,"$9,284,434","$9,499,242"
Nicole Malliotakis,R,NY,11,No,Yes,"$3,469,995","$3,447,052"
Kemi Akindude,I,NY,11,No,No,"$21,261","$14,697"
Carolyn B,D,NY,12,Yes,Yes,"$3,067,173","$3,059,202"
Adriano Espaillat,D,NY,13,Yes,Yes,"$1,087,237","$1,252,740"
Lovelynn Gwinn,R,NY,13,No,No,"$39,384","$39,384"
Alexandria Ocasio,D,NY,14,Yes,Yes,"$20,664,795","$16,735,422"
John C,R,NY,14,No,No,"$11,140,937","$10,947,758"
Ritchie Torres,D,NY,15,No,Yes,"$2,194,025","$1,804,336"
Jamaal Bowman,D,NY,16,No,Yes,"$2,878,898","$2,801,424"
Mondaire Jones,D,NY,17,No,Yes,"$2,984,052","$2,186,463"
Maureen McArdle,R,NY,17,No,No,"$54,732","$60,084"
Michael Parietti,3,NY,17,No,No,"$44,787","$19,670"
Sean Patrick,D,NY,18,Yes,Yes,"$2,556,294","$1,718,525"
Chele Farley,R,NY,18,No,No,"$1,186,211","$1,152,124"
Scott Smith,I,NY,18,No,No,"$8,718","$8,403"
Antonio Delgado,D,NY,19,Yes,Yes,"$5,949,475","$2,963,286"
Kyle Van,R,NY,19,No,No,"$153,796","$120,097"
Paul Tonko,D,NY,20,Yes,Yes,"$1,541,984","$1,418,994"
Elizabeth Joy,R,NY,20,No,No,"$370,852","$336,845"
Elise Stefanik,R,NY,21,Yes,Yes,"$13,287,248","$11,655,936"
Tedra Cobb,D,NY,21,No,No,"$5,586,793","$5,593,266"
Anthony Brindisi,D,NY,22,Yes,No,"$6,020,190","$5,772,429"
Claudia Tenney,R,NY,22,No,No,"$3,051,777","$2,725,893"
Tom Reed,R,NY,23,Yes,Yes,"$3,275,177","$3,145,027"
Tracy Mitrano,D,NY,23,No,No,"$1,450,322","$1,466,128"
John Katko,R,NY,24,Yes,Yes,"$3,821,107","$3,597,234"
Dana Balter,D,NY,24,No,No,"$3,212,469","$3,230,808"
Joseph D,D,NY,25,Yes,Yes,"$1,375,366","$1,274,426"
George Mitris,R,NY,25,No,No,"$301,376","$279,047"
Kevin Wilson,L,NY,25,No,No,"$5,128","$3,417"
Brian M,D,NY,26,Yes,Yes,"$1,124,168","$984,106"
Chris Jacobs,R,NY,27,Yes,Yes,"$2,147,101","$2,084,271"
Nate McMurray,D,NY,27,No,No,"$1,150,058","$1,097,111"
Duane Whitmer,L,NY,27,No,No,"$36,056","$36,056"
G K,D,NC,01,Yes,Yes,"$1,032,869","$880,420"
Sandy Smith,R,NC,01,No,No,"$1,458,375","$1,437,805"
Deborah Ross,D,NC,02,No,Yes,"$2,268,381","$1,816,923"
Alan Swain,R,NC,02,No,No,"$119,664","$119,435"
Japheth Matemu,L,NC,02,No,No,$625,$54
Greg Murphy,R,NC,03,Yes,Yes,"$1,767,790","$1,505,559"
David Price,D,NC,04,Yes,Yes,"$1,161,738","$1,014,872"
Virginia Foxx,R,NC,05,Yes,Yes,"$1,858,388","$1,944,629"
David Wilson,D,NC,05,No,No,"$61,596","$60,668"
Kathy Manning,D,NC,06,No,Yes,"$2,002,284","$1,695,596"
Joseph Lee,R,NC,06,No,No,"$73,878","$58,342"
Jennyfer Bucardo,I,NC,06,No,No,$750,$759
David Rouzer,R,NC,07,Yes,Yes,"$1,628,458","$1,038,883"
Christopher Ward,D,NC,07,No,No,"$16,260","$4,119"
Richard Hudson,R,NC,08,Yes,Yes,"$4,135,872","$4,359,009"
Patricia Timmons,D,NC,08,No,No,"$3,855,743","$3,852,668"
Dan Bishop,R,NC,09,Yes,Yes,"$4,090,260","$4,029,864"
Cynthia Wallace,D,NC,09,No,No,"$811,609","$794,300"
Patrick McHenry,R,NC,10,Yes,Yes,"$2,780,234","$2,339,363"
David Parker,D,NC,10,No,No,"$30,555","$30,555"
Madison Cawthorn,R,NC,11,No,Yes,"$4,478,970","$4,366,783"
Moe Davis,D,NC,11,No,No,"$2,251,413","$2,148,121"
Alma Adams,D,NC,12,Yes,Yes,"$824,124","$651,883"
Bill Brewster,R,NC,12,No,No,"$21,950","$16,763"
Ted Budd,R,NC,13,Yes,Yes,"$2,294,174","$1,293,414"
Scott Huffman,D,NC,13,No,No,"$193,334","$189,967"
